incident_id,latitude,longitude,incident_type,date,time_of_day,city,barangay,description
1,14.646736,121.051032,harassment,2025-11-19,17:03,Quezon City,Diliman,
2,14.617409,121.054836,theft,2025-11-15,01:37,Quezon City,Cubao,
3,14.7225,121.039981,theft,2026-01-24,09:29,Quezon City,Novaliches,
4,14.649313,121.033139,harassment,2025-09-19,08:31,Quezon City,Project 6,
5,14.716903,121.036719,robbery,2025-12-27,02:20,Quezon City,Novaliches,
6,14.574207,120.994217,theft,2025-09-19,01:17,Manila,Malate,
7,14.60039,120.975071,theft,2025-08-24,18:23,Manila,Binondo,
8,14.603414,120.999212,robbery,2025-12-11,19:10,Manila,Sampaloc,
9,14.605942,120.997797,robbery,2025-04-07,14:19,Manila,Sampaloc,
10,14.602985,120.97965,theft,2026-01-15,07:49,Manila,Quiapo,
11,14.598701,120.985773,assault,2025-11-19,22:47,Manila,Quiapo,
12,14.617023,120.973719,assault,2025-04-10,14:18,Manila,Tondo,
13,14.619256,120.978263,assault,2025-10-07,19:55,Manila,Sta. Cruz,
14,14.724655,121.036802,assault,2025-04-08,09:40,Quezon City,Novaliches,
15,14.582894,120.998585,assault,2025-06-14,20:04,Manila,Paco,
16,14.634433,121.033272,theft,2025-10-27,16:06,Quezon City,Kamuning,
17,14.616344,120.972232,robbery,2025-12-27,08:46,Manila,Tondo,
18,14.633599,121.034653,theft,2025-10-17,18:41,Quezon City,Kamuning,
19,14.619765,121.054488,assault,2025-07-09,22:48,Quezon City,Cubao,
20,14.581662,120.997054,assault,2025-09-26,18:16,Manila,Paco,
21,14.647022,121.054392,harassment,2025-11-25,08:29,Quezon City,Diliman,
22,14.679571,121.048384,harassment,2026-01-28,23:47,Quezon City,Commonwealth,
23,14.579006,120.989544,assault,2025-11-02,09:38,Manila,Ermita,
24,14.677819,121.049884,theft,2025-12-29,07:16,Quezon City,Commonwealth,
25,14.600557,120.974127,theft,2025-07-27,07:42,Manila,Binondo,
26,14.672476,121.046417,harassment,2025-08-13,21:42,Quezon City,Commonwealth,
27,14.704888,121.082773,robbery,2025-08-16,22:33,Quezon City,Fairview,
28,14.654449,121.032158,robbery,2025-11-13,13:18,Quezon City,Project 6,
29,14.60748,120.995928,theft,2026-01-12,16:50,Manila,Sampaloc,
30,14.597278,120.965993,harassment,2025-07-26,17:52,Manila,Binondo,
31,14.673843,121.050097,robbery,2025-08-17,20:30,Quezon City,Commonwealth,
32,14.602294,120.973349,harassment,2026-01-20,11:55,Manila,Binondo,
33,14.617637,120.982203,theft,2025-05-27,07:01,Manila,Sta. Cruz,
34,14.596012,120.988817,harassment,2025-03-22,22:22,Manila,Quiapo,
35,14.581504,120.986543,assault,2026-02-04,17:23,Manila,Ermita,
36,14.673572,121.050532,assault,2025-09-08,19:23,Quezon City,Commonwealth,
37,14.623481,120.975927,assault,2025-07-05,06:33,Manila,Tondo,
38,14.640629,121.035011,assault,2025-05-09,11:56,Quezon City,Kamuning,
39,14.704157,121.085773,harassment,2025-04-21,21:04,Quezon City,Fairview,
40,14.570344,120.994763,robbery,2026-03-13,18:59,Manila,Malate,
41,14.687147,121.088161,assault,2025-07-01,17:42,Quezon City,Batasan Hills,
42,14.70496,121.080268,harassment,2025-05-19,20:41,Quezon City,Fairview,
43,14.724448,121.042966,harassment,2025-05-11,22:11,Quezon City,Novaliches,
44,14.674814,121.050058,robbery,2025-08-08,20:06,Quezon City,Commonwealth,
45,14.631596,121.035599,assault,2025-09-22,02:12,Quezon City,Kamuning,
46,14.609672,120.995108,robbery,2025-12-27,12:31,Manila,Sampaloc,
47,14.607189,120.994781,robbery,2025-12-03,19:01,Manila,Sampaloc,
48,14.6057,120.992946,assault,2025-04-17,06:51,Manila,Sampaloc,
49,14.585616,121.006089,robbery,2025-03-31,13:06,Manila,Paco,
50,14.585347,121.004762,theft,2026-02-04,08:15,Manila,Paco,
51,14.63604,121.034744,robbery,2025-09-22,19:32,Quezon City,Kamuning,
52,14.704216,121.082492,robbery,2025-12-24,17:08,Quezon City,Fairview,
53,14.61538,120.972773,theft,2025-06-15,11:07,Manila,Tondo,
54,14.691436,121.090123,assault,2025-05-05,08:06,Quezon City,Batasan Hills,
55,14.604237,120.97042,robbery,2025-06-22,20:00,Manila,Binondo,
56,14.615534,121.054758,theft,2025-11-26,13:00,Quezon City,Cubao,
57,14.603528,120.974265,theft,2026-01-27,20:05,Manila,Binondo,
58,14.649812,121.050251,harassment,2025-08-27,16:41,Quezon City,Diliman,
59,14.608935,120.996275,harassment,2025-12-22,11:36,Manila,Sampaloc,
60,14.719043,121.040067,assault,2025-11-25,10:28,Quezon City,Novaliches,
61,14.585093,120.979689,theft,2025-09-17,11:55,Manila,Ermita,
62,14.697135,121.080028,harassment,2025-04-19,16:10,Quezon City,Fairview,
63,14.619827,120.967973,theft,2026-03-03,19:53,Manila,Tondo,
64,14.616306,120.986913,harassment,2025-06-16,16:15,Manila,Sta. Cruz,
65,14.586712,120.996902,theft,2026-01-04,22:38,Manila,Paco,
66,14.637072,121.036045,robbery,2025-07-15,19:27,Quezon City,Kamuning,
67,14.704922,121.081991,harassment,2025-04-02,19:57,Quezon City,Fairview,
68,14.657606,121.033579,theft,2026-02-15,09:52,Quezon City,Project 6,
69,14.612012,120.999233,assault,2025-10-18,18:56,Manila,Sampaloc,
70,14.634539,121.034425,harassment,2026-02-08,13:14,Quezon City,Kamuning,
71,14.586836,121.000553,harassment,2025-12-25,08:39,Manila,Paco,
72,14.6715,121.044682,robbery,2025-10-13,19:06,Quezon City,Commonwealth,
73,14.636269,121.034736,assault,2025-07-30,22:46,Quezon City,Kamuning,
74,14.635016,121.035457,theft,2025-05-06,21:31,Quezon City,Kamuning,
75,14.604641,120.998825,assault,2025-04-29,17:31,Manila,Sampaloc,
76,14.616654,120.968102,harassment,2025-05-06,06:05,Manila,Tondo,
77,14.64785,121.054712,assault,2026-01-26,19:48,Quezon City,Diliman,
78,14.700109,121.080328,assault,2025-10-06,21:39,Quezon City,Fairview,
